u_id,alertness_morning_mean,happiness_morning_mean,energymorning_mean,healthmorning_mean,relaxmorning_mean,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17
2044,43.26,36.16,61.5,40.33,65.88,5.0,3.0,1.0,2.0,5.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0
2045,41.86,52.97,52.44,50.27,79.78,1.0,3.0,4.0,1.0,3.0,1.0,5.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0
2046,43.1,46.31,67.24,63.98,65.62,5.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0
2047,51.06,54.75,49.16,59.39,35.69,4.0,2.0,3.0,4.0,1.0,3.0,5.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,2.0
2048,43.16,52.42,30.34,48.52,55.25,4.0,1.0,2.0,3.0,4.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0
2049,48.71,69.91,28.42,51.76,40.89,1.0,3.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0
2050,41.26,49.52,68.78,35.13,49.39,5.0,1.0,4.0,3.0,1.0,1.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0
2051,43.96,40.84,69.75,50.37,75.76,1.0,1.0,1.0,5.0,4.0,3.0,5.0,5.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,4.0,1.0
2052,48.13,54.16,44.31,49.99,64.4,2.0,2.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,5.0,3.0,3.0,1.0,4.0,2.0
2053,22.66,54.61,41.59,56.67,47.04,2.0,2.0,3.0,4.0,3.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0
2054,36.53,67.22,66.25,46.11,42.95,4.0,1.0,3.0,1.0,2.0,1.0,5.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0
2055,34.7,61.42,31.91,59.88,56.55,2.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0
2056,32.64,56.13,34.75,67.14,40.31,5.0,3.0,3.0,4.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0,4.0,5.0,1.0,1.0,3.0,2.0
2057,37.08,68.38,55.31,55.64,47.4,4.0,3.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,4.0,1.0,2.0,1.0,5.0,3.0
2058,58.67,39.01,41.43,58.27,60.17,1.0,3.0,2.0,4.0,1.0,2.0,5.0,5.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0
2059,29.87,45.09,46.64,54.27,71.13,1.0,3.0,4.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0
2060,52.24,41.92,44.52,53.56,64.03,1.0,1.0,4.0,2.0,4.0,3.0,4.0,5.0,2.0,1.0,1.0,5.0,4.0,5.0,1.0,4.0,2.0
2061,19.91,47.86,51.22,43.88,26.35,4.0,3.0,4.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,2.0,5.0,1.0,4.0,2.0
2062,36.35,36.93,65.53,57.8,60.08,4.0,2.0,4.0,1.0,2.0,3.0,5.0,5.0,4.0,2.0,1.0,2.0,3.0,3.0,1.0,4.0,2.0
2063,42.42,59.21,47.92,52.25,57.06,2.0,2.0,4.0,3.0,3.0,2.0,4.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0
2064,47.58,49.71,55.32,81.62,61.5,5.0,3.0,1.0,3.0,3.0,1.0,5.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,5.0,3.0
2065,49.11,35.89,19.3,74.65,77.12,1.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0
2066,50.11,40.93,46.06,58.73,29.31,4.0,2.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,2.0,5.0,4.0,2.0,1.0,2.0,4.0,2.0
2067,36.18,55.65,35.44,43.33,48.44,5.0,3.0,3.0,3.0,5.0,1.0,3.0,2.0,2.0,5.0,5.0,4.0,4.0,1.0,2.0,4.0,2.0
2068,34.79,61.45,30.42,38.64,63.8,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0
2069,50.9,74.28,34.97,69.53,35.57,4.0,4.0,3.0,1.0,3.0,2.0,5.0,4.0,3.0,1.0,1.0,5.0,2.0,1.0,2.0,4.0,2.0
2070,38.1,84.44,42.24,57.08,75.3,5.0,2.0,4.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0
